companyNumber,recordType,companyStatus,numberOfOfficers,companyNameLenght,companyName
FC029410,1, ,0006,0022,DSV AIR & SEA LIMITED<
FC029429,1, ,0003,0029,CAMAS MOR STRUCTURES LIMITED<
FC029445,1, ,0003,0019,FRANCIS MCNALLY NI<
FC029476,1,C,0003,0031,VITAMIN- SHOP NORTHERN IRELAND<
FC029499,1, ,0003,0024,STYLITE DESIGNS LIMITED<
FC029543,1, ,0003,0035,DYNAMIC CONTRACT SOLUTIONS LIMITED<
FC029621,1, ,0003,0039,VALENCE TECHNOLOGY CAYMAN ISLANDS INC.<
FC029654,1, ,0003,0030,CASTLEDOOEY TRANSPORT LIMITED<
FC029662,1, ,0002,0016,A1 HEAT LIMITED<
FC029664,1, ,0003,0024,TERENCE C QUINN LIMITED<
FC029679,1,C,0004,0016,POMBURY LIMITED<
FC029681,1, ,0004,0033,"XPO LOGISTICS SUPPLY CHAIN, INC.<"
FC029688,1, ,0004,0029,THOMOND UNDERWRITING LIMITED<
FC029696,1, ,0004,0031,GOUDIE BROS. TRANSPORT LIMITED<
FC029722,1, ,0006,0031,JOHN PAUL CONSTRUCTION LIMITED<
FC029750,1, ,0002,0013,EPOQUE FILMS<
FC029752,1, ,0008,0021,ALLEGRO DISTRIBUTION<
FC029768,1, ,0003,0028,IACCESS CORPORATION LIMITED<
FC029773,1, ,0003,0019,LC SEATING LIMITED<
FC029780,1, ,0003,0023,STONE SURFACES LIMITED<
FC029783,1, ,0005,0041,MCBURNEY REFRIGERATION (IRELAND) LIMITED<
FC029798,1,C,0005,0025,LIFESTYLE SPORTS IRELAND<
FC029799,1,C,0004,0024,ELLSONT FASHION LIMITED<
FC029800,1,C,0004,0028,DUNFESS PERFORMANCE LIMITED<
FC031055,1, ,0003,0033,BRADLEY EUROPEAN HAULAGE LIMITED<
FC031122,1, ,0003,0025,BALLYBAY ESTATES LIMITED<
FC031132,1,C,0006,0024,VILICOM ENGINEERING LTD<
FC031135,1,C,0002,0034,BRIAN CAVANAGH CONSULTING LIMITED<
FC031136,1, ,0002,0030,"CONSTRUGOMES, ENGENHARIA S.A.<"
FC031162,1, ,0003,0030,NORTH EAST DRY LINING LIMITED<
FC031185,1, ,0003,0031,CLEAR HEALTHCARE (IOM) LIMITED<
FC031203,1, ,0006,0029,TRADE CREDIT BROKERS LIMITED<
FC031215,1, ,0003,0032,SHERIDAN ENVIRONMENTAL SERVICES<
FC031218,1, ,0002,0023,CLANNAH NATURAL ENERGY<
FC031278,1, ,0016,0043,"IRISH INTERNATIONAL IMMIGRANT CENTER, INC.<"
FC031280,1, ,0002,0046,SEARCH EQUATIONS SEM SERVICES PRIVATE LIMITED<
FC031293,1, ,0003,0039,GLENSIDE ENGINEERING (IRELAND) LIMITED<
FC031322,1, ,0002,0013,COPYFORD LTD<
FC031386,1, ,0004,0044,COUNTER PRODUCTS MARKETING NORTHERN IRELAND<
FC031451,1, ,0003,0018,BK FORKLIFTS (NI)<
FC031457,1, ,0003,0020,MOLLOYS FISH MARKET<
FC031535,1, ,0007,0023,KERNEL CAPITAL BELFAST<
FC031564,1, ,0003,0020,NUALIGHT SALES (UK)<
FC031622,1, ,0002,0023,ANDREI HYGIENE LIMITED<
FC031669,1, ,0007,0025,STANDARD CONTROL SYSTEMS<
FC031674,1, ,0005,0021,CARROLLS IRISH GIFTS<
FC031682,1, ,0004,0026,TORPOINT (JERSEY) LIMITED<
FC031684,1, ,0005,0028,ATH DARA BLOODSTOCK LIMITED<
FC031685,1, ,0004,0031,BLUE TRIANGLE (JERSEY) LIMITED<
FC031686,1, ,0004,0022,SPYGLASS HILL LIMITED<
FC031708,1, ,0003,0022,LAGAN MACADAM LIMITED<
FC031734,1, ,0004,0024,PAT O'DONNELL & COMPANY<
FC031800,1, ,0002,0036,A.N. ROBINSON (DEV) IRELAND LIMITED<
FC031805,1, ,0003,0028,NAVAN FRUIT COMPANY LIMITED<
FC031866,1, ,0002,0030,C & J KELLY FISHERIES LIMITED<
FC031946,1, ,0003,0024,HI-VOLT IRELAND LIMITED<
FC031947,1, ,0003,0023,TYRE & SAFETY SUPPLIES<
FC031949,1,C,0007,0030,ROUGHAN AND O'DONOVAN LIMITED<
FC031953,1, ,0004,0017,BABY SCAN DIRECT<
FC032005,1, ,0003,0027,MCCABE EARTH WORKS LIMITED<
FC032009,1, ,0002,0029,MASTERLINK OVERNIGHT LIMITED<
FC032038,1, ,0006,0039,WILLIS RISK SERVICES (IRELAND) LIMITED<
FC032057,1, ,0004,0033,WESTERN HYGIENE SUPPLIES LIMITED<
FC032061,1, ,0003,0026,BAK BULK SERVICES LIMITED<
FC032101,1, ,0003,0033,EDIT LOGISTICS LIMITED T/A OPLAN<
FC032111,1, ,0004,0043,"EVO PAYMENTS INTERNATIONAL GMBH, BRANCH UK<"
FC032163,1, ,0004,0014,ICAN (NI) LTD<
FC032175,1, ,0002,0035,LAURENCE PIERCE (PROPERTY) LIMITED<
FC032176,1, ,0002,0017,BEANBAGSPORTS UK<
FC032186,1, ,0003,0014,MARJU LIMITED<
FC032208,1, ,0009,0025,"SOMAGUE ENGENHARIA, S.A.<"
FC032224,1, ,0004,0030,THOROUGHBRED REMEDIES IRELAND<
FC032227,1, ,0003,0025,NEUROMOD DEVICES LIMITED<
FC032229,1, ,0004,0020,PRIMELINE LOGISTICS<
FC032238,1, ,0003,0020,VON BISMARK LIMITED<
FC032243,1, ,0003,0016,WAY2PAY LIMITED<
FC032291,1, ,0003,0028,SEDICII INNOVATIONS LIMITED<
FC032335,1, ,0003,0018,SPARKPAGE LIMITED<
FC032344,1, ,0002,0017,GMS SOURCING LTD<
FC032366,1, ,0003,0030,SIG TRADING (IRELAND) LIMITED<
FC032450,1, ,0004,0020,P. MCCLOSKEY & SONS<
FC032451,1, ,0003,0025,LARAGH LIVESTOCK LIMITED<
FC032532,1, ,0004,0022,ASKA SYKES NI LIMITED<
FC032542,1, ,0005,0031,F. & P. FOGARTY & SONS LIMITED<
FC032567,1, ,0002,0049,GAELECTRIC RENEWABLE ENERGY DEVELOPMENTS LIMITED<
FC032591,1, ,0003,0020,GILL CIVILS LIMITED<
FC032602,1, ,0002,0030,M.A.S.T. CONSTRUCTION LIMITED<
FC032643,1, ,0003,0021,MAHA IRELAND LIMITED<
FC032646,1, ,0003,0028,BRIDGESTONE IRELAND LIMITED<
FC032667,1, ,0005,0022,CROWN ROOFING LIMITED<
FC032672,1, ,0005,0023,ALLIED IMPORTS LIMITED<
FC032680,1, ,0007,0030,HIBERGENE DIAGNOSTICS LIMITED<
FC032732,1, ,0005,0021,KINGSPAN ESB LIMITED<
FC032768,1, ,0003,0034,DUNDALK TRINITY TRANSPORT LIMITED<
FC032782,1, ,0009,0020,VIATORES CHRISTI NI<
FC032846,1, ,0003,0045,NEWMARKET INFORMATION (PUBLICATIONS) LIMITED<
FC032847,1, ,0003,0013,CARRAIG DONN<
FC032877,1, ,0007,0011,COLORTREND<
NC000001,1, ,0003,0033,HUTCHESON IRVINE PARTNERSHIP LLP<
NC000002,1, ,0002,0027,CHAMBRÉ PUBLIC AFFAIRS LLP
NC000003,1, ,0003,0025,FINANCIAL CHOICES UK LLP<
NC000004,1, ,0003,0009,FASA LLP<
NC000005,1,D,0003,0026,STORMONT PARTNERSHIP  LLP<
NC000006,1,D,0002,0010,LAGST LLP<
NC000007,1, ,0003,0030,FORTRESS GLASS TECHNOLOGY LLP<
NC000008,1,D,0002,0018,ROXFORDE CARS LLP<
NC000009,1,D,0002,0027,GREEN ENGINEERING (NI) LLP<
NC000010,1, ,0002,0020,GRAB A CAB (NI) LLP<
NC000011,1, ,0002,0016,HUSTON & CO LLP<
NC000012,1,D,0005,0023,SIGNFLAIR SERVICES LLP<
NC000013,1,D,0002,0032,PLATINUM FINANCIAL PLANNING LLP<
NC000014,1,R,0001,0028,STRATHMORE DEVELOPMENTS LLP<
NC000015,1, ,0002,0036,SQUARE SEVEN FINANCIAL PLANNING LLP<
NC000016,1,D,0002,0035,BRIAN SAUNDERS HORSE TRANSPORT LLP<
NC000017,1,D,0002,0020,NEWCREATION.COM LLP<
NC000018,1, ,0002,0038,C N JOINERY AND BUILDING SERVICES LLP<
NC000019,1, ,0002,0023,WAYNE SMYTH & SONS LLP<
NC000020,1, ,0002,0023,ABC STEEL SUPPLIES LLP<
NC000021,1, ,0003,0031,PYPER MCLARNON PARTNERSHIP LLP<
NC000023,1,D,0001,0029,THE DOWNINGS PARTNERSHIP LLP<
NC000024,1, ,0007,0020,FPM ACCOUNTANTS LLP<
NC000025,1, ,0002,0020,TAYLOR AND BOYD LLP<
NC000026,1,D,0005,0028,BTWSHIELLS RESIDENTIAL  LLP<
NC000027,1, ,0003,0022,G S GORDON & SONS LLP<
NC000028,1,D,0002,0012,WP SURF LLP<
NC000030,1, ,0002,0024,FINANCIAL PROSPECTS LLP<
NC000031,1, ,0002,0036,S HILL & CO INVESTMENT ADVISERS LLP<
NC000032,1, ,0002,0021,LESTER ACOUSTICS LLP<
NC000033,1, ,0020,0040,NORTHERN IRELAND FILM PARTNERSHIP 1 LLP<
NC000034,1,D,0002,0011,MENTAS LLP<
NC000035,1,D,0001,0017,JUSTIN THYME LLP<
NC000036,1, ,0002,0035,FINANCIAL RESEARCH PARTNERSHIP LLP<
NC000037,1,D,0002,0033,MCNEICE NEW & USED CAR SALES LLP<
NC000038,1, ,0002,0045,FLOORING INSPIRATIONS (NORTHERN IRELAND) LLP<
NC000039,1,D,0002,0022,RED BLUE TRAINING LLP<
NC000040,1,L,0004,0036,CLASSIC SPORTS & TRAVEL OPTIONS LLP<
NC000041,1,D,0000,0037,BARKING PSYCHO MUSIC PRODUCTIONS LLP<
NC000042,1,D,0003,0015,DAIRY FARM LLP<
NC000043,1,D,0002,0032,CLARENDON SQUARE MANAGEMENT LLP<
NC000044,1, ,0006,0023,MASCOTT PROPERTIES LLP<
NC000045,1, ,0002,0037,FINANCIAL SYSTEMS AND CONSULTING LLP<
NC000046,1,D,0003,0012,QED TAX LLP<
NC000047,1,D,0004,0031,NORTHERN COACHES TRANSPORT LLP<
NC000048,1, ,0002,0027,ENTERPRISE EQUITY (NI) LLP<
